,instance,method,depth
181,009_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
71,009_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
341,009_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
145,009_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
92,009_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
242,009_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
12,009_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
202,009_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
282,009_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
162,009_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
52,009_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
322,009_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
