evaluation,method,instance
PP,FA_opt.json,005_7_2_heavyhex_105nodes_weighted.json
PP,FA_opt.json,006_4_1_heavyhex_39nodes_weighted.json
PP,FA_opt.json,006_7_2_heavyhex_105nodes_weighted.json
PP,FA_opt.json,007_4_1_heavyhex_39nodes_weighted.json
PP,FA_opt.json,007_7_2_heavyhex_105nodes_weighted.json
PP,FA_opt.json,008_4_1_heavyhex_39nodes_weighted.json
PP,FA_opt.json,008_7_2_heavyhex_105nodes_weighted.json
PP,FA_opt.json,009_4_1_heavyhex_39nodes_weighted.json
PP,FA_opt.json,009_7_2_heavyhex_105nodes_weighted.json
PP,LR_opt.json,000_100nodes_3swap_layers.json
PP,LR_opt.json,000_40nodes_8swap_layers.json
PP,LR_opt.json,001_100nodes_3swap_layers.json
PP,LR_opt.json,002_100nodes_3swap_layers.json
PP,LR_opt.json,003_100nodes_3swap_layers.json
PP,LR_opt.json,004_100nodes_3swap_layers.json
PP,LR_opt.json,005_100nodes_3swap_layers.json
PP,LR_opt.json,006_100nodes_3swap_layers.json
PP,LR_opt.json,007_100nodes_3swap_layers.json
PP,LR_opt.json,008_100nodes_3swap_layers.json
PP,LR_opt.json,009_100nodes_3swap_layers.json
PP,FA_opt.json,000_100nodes_0swap_layers.json
PP,FA_opt.json,000_100nodes_10swap_layers.json
PP,FA_opt.json,000_100nodes_2swap_layers.json
PP,FA_opt.json,000_100nodes_3swap_layers.json
PP,FA_opt.json,000_100nodes_4swap_layers.json
PP,FA_opt.json,000_100nodes_5swap_layers.json
PP,FA_opt.json,000_100nodes_6swap_layers.json
PP,FA_opt.json,000_100nodes_7swap_layers.json
PP,FA_opt.json,000_100nodes_8swap_layers.json
PP,FA_opt.json,000_100nodes_9swap_layers.json
PP,FA_opt.json,000_40nodes_8swap_layers.json
PP,FA_opt.json,001_100nodes_0swap_layers.json
PP,FA_opt.json,001_100nodes_10swap_layers.json
PP,FA_opt.json,001_100nodes_2swap_layers.json
PP,FA_opt.json,001_100nodes_3swap_layers.json
PP,FA_opt.json,001_100nodes_4swap_layers.json
PP,FA_opt.json,001_100nodes_5swap_layers.json
PP,FA_opt.json,001_100nodes_6swap_layers.json
PP,FA_opt.json,001_100nodes_7swap_layers.json
PP,FA_opt.json,001_100nodes_8swap_layers.json
PP,FA_opt.json,001_100nodes_9swap_layers.json
PP,FA_opt.json,002_100nodes_0swap_layers.json
PP,FA_opt.json,002_100nodes_10swap_layers.json
PP,FA_opt.json,002_100nodes_2swap_layers.json
PP,FA_opt.json,002_100nodes_3swap_layers.json
PP,FA_opt.json,002_100nodes_4swap_layers.json
PP,FA_opt.json,002_100nodes_5swap_layers.json
PP,FA_opt.json,002_100nodes_6swap_layers.json
PP,FA_opt.json,002_100nodes_7swap_layers.json
PP,FA_opt.json,002_100nodes_8swap_layers.json
PP,FA_opt.json,002_100nodes_9swap_layers.json
PP,FA_opt.json,003_100nodes_0swap_layers.json
PP,FA_opt.json,003_100nodes_10swap_layers.json
PP,FA_opt.json,003_100nodes_2swap_layers.json
PP,FA_opt.json,003_100nodes_3swap_layers.json
PP,FA_opt.json,003_100nodes_4swap_layers.json
PP,FA_opt.json,003_100nodes_5swap_layers.json
PP,FA_opt.json,003_100nodes_6swap_layers.json
PP,FA_opt.json,003_100nodes_7swap_layers.json
PP,FA_opt.json,003_100nodes_8swap_layers.json
PP,FA_opt.json,003_100nodes_9swap_layers.json
PP,FA_opt.json,004_100nodes_0swap_layers.json
PP,FA_opt.json,004_100nodes_10swap_layers.json
PP,FA_opt.json,004_100nodes_2swap_layers.json
PP,FA_opt.json,004_100nodes_3swap_layers.json
PP,FA_opt.json,004_100nodes_4swap_layers.json
PP,FA_opt.json,004_100nodes_5swap_layers.json
PP,FA_opt.json,004_100nodes_6swap_layers.json
PP,FA_opt.json,004_100nodes_7swap_layers.json
PP,FA_opt.json,004_100nodes_8swap_layers.json
PP,FA_opt.json,004_100nodes_9swap_layers.json
PP,FA_opt.json,005_100nodes_0swap_layers.json
PP,FA_opt.json,005_100nodes_10swap_layers.json
PP,FA_opt.json,005_100nodes_2swap_layers.json
PP,FA_opt.json,005_100nodes_3swap_layers.json
PP,FA_opt.json,005_100nodes_4swap_layers.json
PP,FA_opt.json,005_100nodes_5swap_layers.json
PP,FA_opt.json,005_100nodes_6swap_layers.json
PP,FA_opt.json,005_100nodes_7swap_layers.json
PP,FA_opt.json,005_100nodes_8swap_layers.json
PP,FA_opt.json,005_100nodes_9swap_layers.json
PP,FA_opt.json,006_100nodes_0swap_layers.json
PP,FA_opt.json,006_100nodes_10swap_layers.json
PP,FA_opt.json,006_100nodes_2swap_layers.json
PP,FA_opt.json,006_100nodes_3swap_layers.json
PP,FA_opt.json,006_100nodes_4swap_layers.json
PP,FA_opt.json,006_100nodes_5swap_layers.json
PP,FA_opt.json,006_100nodes_6swap_layers.json
PP,FA_opt.json,006_100nodes_7swap_layers.json
PP,FA_opt.json,006_100nodes_8swap_layers.json
PP,FA_opt.json,006_100nodes_9swap_layers.json
PP,FA_opt.json,007_100nodes_0swap_layers.json
PP,FA_opt.json,007_100nodes_10swap_layers.json
PP,FA_opt.json,007_100nodes_2swap_layers.json
PP,FA_opt.json,007_100nodes_3swap_layers.json
PP,FA_opt.json,007_100nodes_4swap_layers.json
PP,FA_opt.json,007_100nodes_5swap_layers.json
PP,FA_opt.json,007_100nodes_6swap_layers.json
PP,FA_opt.json,007_100nodes_7swap_layers.json
PP,FA_opt.json,007_100nodes_8swap_layers.json
PP,FA_opt.json,007_100nodes_9swap_layers.json
PP,FA_opt.json,008_100nodes_0swap_layers.json
PP,FA_opt.json,008_100nodes_10swap_layers.json
PP,FA_opt.json,008_100nodes_2swap_layers.json
PP,FA_opt.json,008_100nodes_3swap_layers.json
PP,FA_opt.json,008_100nodes_4swap_layers.json
PP,FA_opt.json,008_100nodes_5swap_layers.json
PP,FA_opt.json,008_100nodes_6swap_layers.json
PP,FA_opt.json,008_100nodes_7swap_layers.json
PP,FA_opt.json,008_100nodes_8swap_layers.json
PP,FA_opt.json,008_100nodes_9swap_layers.json
PP,FA_opt.json,009_100nodes_0swap_layers.json
PP,FA_opt.json,009_100nodes_10swap_layers.json
PP,FA_opt.json,009_100nodes_2swap_layers.json
PP,FA_opt.json,009_100nodes_3swap_layers.json
PP,FA_opt.json,009_100nodes_4swap_layers.json
PP,FA_opt.json,009_100nodes_5swap_layers.json
PP,FA_opt.json,009_100nodes_6swap_layers.json
PP,FA_opt.json,009_100nodes_7swap_layers.json
PP,FA_opt.json,009_100nodes_8swap_layers.json
PP,FA_opt.json,009_100nodes_9swap_layers.json
PP,LR_opt.json,000_100nodes_random3regular.json
SV,FA_opt.json,000_10nodes_erdosrenyi20percent.json
SV,FA_opt.json,000_10nodes_erdosrenyi30percent.json
SV,FA_opt.json,000_10nodes_erdosrenyi40percent.json
SV,FA_opt.json,000_10nodes_erdosrenyi50percent.json
SV,FA_opt.json,000_11nodes_erdosrenyi30percent.json
SV,FA_opt.json,000_11nodes_erdosrenyi50percent.json
SV,FA_opt.json,000_12nodes_erdosrenyi20percent.json
SV,FA_opt.json,000_12nodes_erdosrenyi30percent.json
SV,FA_opt.json,000_12nodes_erdosrenyi50percent.json
SV,FA_opt.json,000_13nodes_erdosrenyi30percent.json
SV,FA_opt.json,000_13nodes_erdosrenyi50percent.json
SV,FA_opt.json,000_14nodes_erdosrenyi20percent.json
SV,FA_opt.json,000_14nodes_erdosrenyi50percent.json
SV,FA_opt.json,000_15nodes_erdosrenyi20percent.json
SV,FA_opt.json,000_15nodes_erdosrenyi40percent.json
SV,FA_opt.json,000_15nodes_erdosrenyi50percent.json
SV,FA_opt.json,000_16nodes_erdosrenyi40percent.json
SV,FA_opt.json,000_16nodes_erdosrenyi50percent.json
SV,FA_opt.json,000_17nodes_erdosrenyi30percent.json
SV,FA_opt.json,000_17nodes_erdosrenyi40percent.json
SV,FA_opt.json,000_17nodes_erdosrenyi50percent.json
SV,FA_opt.json,000_18nodes_erdosrenyi20percent.json
SV,FA_opt.json,000_18nodes_erdosrenyi30percent.json
SV,FA_opt.json,000_18nodes_erdosrenyi40percent.json
SV,FA_opt.json,000_18nodes_erdosrenyi50percent.json
SV,FA_opt.json,000_19nodes_erdosrenyi20percent.json
SV,FA_opt.json,000_19nodes_erdosrenyi30percent.json
SV,FA_opt.json,000_20nodes_erdosrenyi20percent.json
SV,FA_opt.json,000_20nodes_erdosrenyi30percent.json
SV,FA_opt.json,000_20nodes_erdosrenyi40percent.json
SV,FA_opt.json,000_20nodes_erdosrenyi50percent.json
SV,FA_opt.json,001_10nodes_erdosrenyi20percent.json
SV,FA_opt.json,001_10nodes_erdosrenyi30percent.json
SV,FA_opt.json,001_10nodes_erdosrenyi40percent.json
SV,FA_opt.json,001_10nodes_erdosrenyi50percent.json
SV,FA_opt.json,001_11nodes_erdosrenyi40percent.json
SV,FA_opt.json,001_11nodes_erdosrenyi50percent.json
SV,FA_opt.json,001_12nodes_erdosrenyi20percent.json
SV,FA_opt.json,001_12nodes_erdosrenyi30percent.json
SV,FA_opt.json,001_12nodes_erdosrenyi40percent.json
SV,FA_opt.json,001_12nodes_erdosrenyi50percent.json
SV,FA_opt.json,001_13nodes_erdosrenyi20percent.json
SV,FA_opt.json,001_13nodes_erdosrenyi30percent.json
SV,FA_opt.json,001_13nodes_erdosrenyi40percent.json
SV,FA_opt.json,001_13nodes_erdosrenyi50percent.json
SV,FA_opt.json,001_14nodes_erdosrenyi40percent.json
SV,FA_opt.json,001_14nodes_erdosrenyi50percent.json
SV,FA_opt.json,001_15nodes_erdosrenyi20percent.json
SV,FA_opt.json,001_15nodes_erdosrenyi30percent.json
SV,FA_opt.json,001_15nodes_erdosrenyi40percent.json
SV,FA_opt.json,001_15nodes_erdosrenyi50percent.json
SV,FA_opt.json,001_16nodes_erdosrenyi20percent.json
SV,FA_opt.json,001_16nodes_erdosrenyi30percent.json
SV,FA_opt.json,001_16nodes_erdosrenyi40percent.json
SV,FA_opt.json,001_16nodes_erdosrenyi50percent.json
SV,FA_opt.json,001_17nodes_erdosrenyi30percent.json
SV,FA_opt.json,001_17nodes_erdosrenyi40percent.json
SV,FA_opt.json,001_17nodes_erdosrenyi50percent.json
SV,FA_opt.json,001_18nodes_erdosrenyi20percent.json
SV,FA_opt.json,001_18nodes_erdosrenyi30percent.json
SV,FA_opt.json,001_18nodes_erdosrenyi40percent.json
SV,FA_opt.json,001_18nodes_erdosrenyi50percent.json
SV,FA_opt.json,001_19nodes_erdosrenyi20percent.json
SV,FA_opt.json,001_19nodes_erdosrenyi30percent.json
SV,FA_opt.json,001_19nodes_erdosrenyi40percent.json
SV,F.json,000_17nodes_erdosrenyi40percent.json
SV,F.json,000_17nodes_erdosrenyi50percent.json
SV,F.json,000_18nodes_erdosrenyi20percent.json
SV,F.json,000_18nodes_erdosrenyi30percent.json
