,instance,method,depth
352,004_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
2,004_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
122,004_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
322,004_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
290,004_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
401,004_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
51,004_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
90,004_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_no_opt.json,6
440,004_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
251,004_7_3_heavyhex_144nodes_weighted.json,LR_MPS_no_opt.json,6
210,004_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
170,004_7_3_heavyhex_144nodes_weighted.json,LR_PP_no_opt.json,6
360,004_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
10,004_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
130,004_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
284,005_100nodes_2swap_layers.json,F_MPS.json,6
396,005_100nodes_2swap_layers.json,I_MPS.json,6
43,005_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
84,005_100nodes_2swap_layers.json,LR_MPSAer_no_opt.json,6
436,005_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
246,005_100nodes_2swap_layers.json,LR_MPS_no_opt.json,6
203,005_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
166,005_100nodes_2swap_layers.json,LR_PP_no_opt.json,6
356,005_100nodes_2swap_layers.json,RTS_MPS.json,6
6,005_100nodes_2swap_layers.json,RTS_MPSAer.json,6
124,005_100nodes_2swap_layers.json,RTS_PP.json,6
325,005_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
291,005_100nodes_random3regular.json,F_MPS.json,6
400,005_100nodes_random3regular.json,I_MPS.json,6
50,005_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
91,005_100nodes_random3regular.json,LR_MPSAer_no_opt.json,6
441,005_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
250,005_100nodes_random3regular.json,LR_MPS_no_opt.json,6
211,005_100nodes_random3regular.json,LR_PP_angle_opt.json,6
171,005_100nodes_random3regular.json,LR_PP_no_opt.json,6
361,005_100nodes_random3regular.json,RTS_MPS.json,6
11,005_100nodes_random3regular.json,RTS_MPSAer.json,6
131,005_100nodes_random3regular.json,RTS_PP.json,6
328,005_100nodes_random3regular.json,TQA_MPS_opt.json,6
312,005_70nodes_erdosrenyi20percent.json,F_MPS.json,6
422,005_70nodes_erdosrenyi20percent.json,I_MPS.json,6
72,005_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
112,005_70nodes_erdosrenyi20percent.json,LR_MPSAer_no_opt.json,6
462,005_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
272,005_70nodes_erdosrenyi20percent.json,LR_MPS_no_opt.json,6
232,005_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
192,005_70nodes_erdosrenyi20percent.json,LR_PP_no_opt.json,6
382,005_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
32,005_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
152,005_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
345,005_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
295,005_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
405,005_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
55,005_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
95,005_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_no_opt.json,6
445,005_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
255,005_7_3_heavyhex_144nodes_weighted.json,LR_MPS_no_opt.json,6
215,005_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
175,005_7_3_heavyhex_144nodes_weighted.json,LR_PP_no_opt.json,6
365,005_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
15,005_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
135,005_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
298,006_100nodes_2swap_layers.json,F_MPS.json,6
408,006_100nodes_2swap_layers.json,I_MPS.json,6
58,006_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
98,006_100nodes_2swap_layers.json,LR_MPSAer_no_opt.json,6
448,006_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
258,006_100nodes_2swap_layers.json,LR_MPS_no_opt.json,6
218,006_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
178,006_100nodes_2swap_layers.json,LR_PP_no_opt.json,6
368,006_100nodes_2swap_layers.json,RTS_MPS.json,6
18,006_100nodes_2swap_layers.json,RTS_MPSAer.json,6
138,006_100nodes_2swap_layers.json,RTS_PP.json,6
334,006_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
283,006_100nodes_random3regular.json,F_MPS.json,6
393,006_100nodes_random3regular.json,I_MPS.json,6
46,006_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
83,006_100nodes_random3regular.json,LR_MPSAer_no_opt.json,6
434,006_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
243,006_100nodes_random3regular.json,LR_MPS_no_opt.json,6
206,006_100nodes_random3regular.json,LR_PP_angle_opt.json,6
164,006_100nodes_random3regular.json,LR_PP_no_opt.json,6
354,006_100nodes_random3regular.json,RTS_MPS.json,6
4,006_100nodes_random3regular.json,RTS_MPSAer.json,6
123,006_100nodes_random3regular.json,RTS_PP.json,6
324,006_100nodes_random3regular.json,TQA_MPS_opt.json,6
303,006_70nodes_erdosrenyi20percent.json,F_MPS.json,6
413,006_70nodes_erdosrenyi20percent.json,I_MPS.json,6
63,006_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
102,006_70nodes_erdosrenyi20percent.json,LR_MPSAer_no_opt.json,6
452,006_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
263,006_70nodes_erdosrenyi20percent.json,LR_MPS_no_opt.json,6
223,006_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
183,006_70nodes_erdosrenyi20percent.json,LR_PP_no_opt.json,6
372,006_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
22,006_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
143,006_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
337,006_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
286,006_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
395,006_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
45,006_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
85,006_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_no_opt.json,6
435,006_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
245,006_7_3_heavyhex_144nodes_weighted.json,LR_MPS_no_opt.json,6
205,006_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
165,006_7_3_heavyhex_144nodes_weighted.json,LR_PP_no_opt.json,6
355,006_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
5,006_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
126,006_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
317,007_100nodes_2swap_layers.json,F_MPS.json,6
426,007_100nodes_2swap_layers.json,I_MPS.json,6
77,007_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
116,007_100nodes_2swap_layers.json,LR_MPSAer_no_opt.json,6
466,007_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
276,007_100nodes_2swap_layers.json,LR_MPS_no_opt.json,6
236,007_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
196,007_100nodes_2swap_layers.json,LR_PP_no_opt.json,6
386,007_100nodes_2swap_layers.json,RTS_MPS.json,6
37,007_100nodes_2swap_layers.json,RTS_MPSAer.json,6
156,007_100nodes_2swap_layers.json,RTS_PP.json,6
349,007_100nodes_2swap_layers.json,TQA_MPS_opt.json,6
314,007_100nodes_random3regular.json,F_MPS.json,6
425,007_100nodes_random3regular.json,I_MPS.json,6
74,007_100nodes_random3regular.json,LR_MPSAer_angle_opt.json,6
118,007_100nodes_random3regular.json,LR_MPSAer_no_opt.json,6
468,007_100nodes_random3regular.json,LR_MPS_angle_opt.json,6
275,007_100nodes_random3regular.json,LR_MPS_no_opt.json,6
238,007_100nodes_random3regular.json,LR_PP_angle_opt.json,6
198,007_100nodes_random3regular.json,LR_PP_no_opt.json,6
388,007_100nodes_random3regular.json,RTS_MPS.json,6
34,007_100nodes_random3regular.json,RTS_MPSAer.json,6
154,007_100nodes_random3regular.json,RTS_PP.json,6
346,007_100nodes_random3regular.json,TQA_MPS_opt.json,6
299,007_70nodes_erdosrenyi20percent.json,F_MPS.json,6
409,007_70nodes_erdosrenyi20percent.json,I_MPS.json,6
59,007_70nodes_erdosrenyi20percent.json,LR_MPSAer_angle_opt.json,6
99,007_70nodes_erdosrenyi20percent.json,LR_MPSAer_no_opt.json,6
449,007_70nodes_erdosrenyi20percent.json,LR_MPS_angle_opt.json,6
259,007_70nodes_erdosrenyi20percent.json,LR_MPS_no_opt.json,6
219,007_70nodes_erdosrenyi20percent.json,LR_PP_angle_opt.json,6
179,007_70nodes_erdosrenyi20percent.json,LR_PP_no_opt.json,6
369,007_70nodes_erdosrenyi20percent.json,RTS_MPS.json,6
19,007_70nodes_erdosrenyi20percent.json,RTS_MPSAer.json,6
139,007_70nodes_erdosrenyi20percent.json,RTS_PP.json,6
335,007_70nodes_erdosrenyi20percent.json,TQA_MPS_opt.json,6
313,007_7_3_heavyhex_144nodes_weighted.json,F_MPS.json,6
423,007_7_3_heavyhex_144nodes_weighted.json,I_MPS.json,6
73,007_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_angle_opt.json,6
113,007_7_3_heavyhex_144nodes_weighted.json,LR_MPSAer_no_opt.json,6
463,007_7_3_heavyhex_144nodes_weighted.json,LR_MPS_angle_opt.json,6
273,007_7_3_heavyhex_144nodes_weighted.json,LR_MPS_no_opt.json,6
233,007_7_3_heavyhex_144nodes_weighted.json,LR_PP_angle_opt.json,6
193,007_7_3_heavyhex_144nodes_weighted.json,LR_PP_no_opt.json,6
383,007_7_3_heavyhex_144nodes_weighted.json,RTS_MPS.json,6
33,007_7_3_heavyhex_144nodes_weighted.json,RTS_MPSAer.json,6
153,007_7_3_heavyhex_144nodes_weighted.json,RTS_PP.json,6
309,008_100nodes_2swap_layers.json,F_MPS.json,6
419,008_100nodes_2swap_layers.json,I_MPS.json,6
69,008_100nodes_2swap_layers.json,LR_MPSAer_angle_opt.json,6
109,008_100nodes_2swap_layers.json,LR_MPSAer_no_opt.json,6
459,008_100nodes_2swap_layers.json,LR_MPS_angle_opt.json,6
269,008_100nodes_2swap_layers.json,LR_MPS_no_opt.json,6
229,008_100nodes_2swap_layers.json,LR_PP_angle_opt.json,6
189,008_100nodes_2swap_layers.json,LR_PP_no_opt.json,6
379,008_100nodes_2swap_layers.json,RTS_MPS.json,6
